Player;P;Age;Salary;GP;G;GA;PlusMin;NHL
Cody McLeod;LW;23;0,28;49;4;5;-6;9
Colby Armstrong;RW;25;1,2;72;13;22;4;35
Colin Fraser;C;22;0,05;5;0;0;-2;0
Colin Stuart;LW;25;0,1;18;3;2;2;5
Colin White;D;30;3;57;2;8;-5;10
Colton Orr;RW;25;0,52;74;1;1;-13;2
Connor James;C;25;0,08;13;1;0;-2;1
Corey Crawford;G;23;0,11;5;0;0;0;0
Corey Locke;C;23;0,01;1;0;0;-1;0
Corey Perry;RW;22;0,62;70;29;25;12;54
Cory Murphy;D;29;0,78;47;2;15;0;17
Cory Sarich;D;29;3,9;80;2;5;2;7
Cory Stillman;LW;34;1,75;79;24;41;-15;65
Craig Adams;RW;30;0,6;75;4;7;-16;11
Craig Anderson;G;26;0,52;17;0;1;0;1
Craig Conroy;C;36;2,85;79;12;22;6;34
Craig MacDonald;C;30;0,47;65;2;9;-10;11
Craig Rivet;D;33;3,5;74;5;30;3;35
Craig Weller;RW;26;0,48;59;3;8;-7;11
Cristobal Huet;G;32;2,75;52;0;2;0;2
Curtis Brown;C;31;0,7;33;5;4;4;9
Curtis Glencross;LW;25;0,52;62;15;10;8;25
Curtis Joseph;G;40;0,65;9;0;0;0;0
Curtis McElhinney;G;24;0,26;5;0;0;0;0
Curtis Sanford;G;28;0,6;16;0;1;0;1
Chad Kilger;LW;31;0,8;53;10;7;1;17
Chad LaRose;RW;25;0,5;58;11;12;6;23
Chris Beckford-Tseu;G;23;0,04;1;0;0;0;0
Chris Bourque;LW;21;0,02;4;0;0;0;0
Chris Campoli;D;23;0,6;46;4;14;-1;18
Chris Clark;RW;31;1,1;18;5;4;0;9
Chris Conner;RW;24;0,16;22;3;2;0;5
Chris Chelios;D;45;1,15;69;3;9;11;12
Chris Drury;C;31;7,1;82;25;33;-3;58
Chris Gratton;C;32;1,5;60;10;11;-7;21
Chris Higgins;C;24;1,5;82;27;25;0;52
Chris Kelly;C;27;1,26;75;11;19;3;30
Chris Kunitz;LW;28;1,15;82;21;29;8;50
Chris Mason;G;31;1,25;51;0;1;0;1
Chris Minard;C;26;0,13;15;1;1;-1;2
Chris Neil;RW;28;1,1;68;6;14;-3;20
Chris Osgood;G;35;0,8;43;0;3;0;3
Chris Phillips;D;29;3,5;81;5;13;15;18
Chris Pronger;D;33;5,51;72;12;31;-1;43
Chris Simon;LW;35;0,49;38;1;2;-2;3
Chris Thorburn;RW;24;0,48;73;5;13;-4;18
Christian Backman;D;27;2,2;63;3;15;-2;18
Christian Ehrhoff;D;25;0,9;77;1;21;9;22
Christoph Schubert;D;25;0,85;82;8;16;7;24
Chuck Kobasew;RW;25;1,2;73;22;17;6;39
D.J. King;LW;23;0,5;61;3;3;-4;6
Dainius Zubrus;C;29;3,4;82;13;25;2;38
Dallas Drake;LW;38;0,55;65;3;3;-12;6
Dan Boyle;D;31;3,62;37;4;21;-29;25
Dan Carcillo;LW;22;0,64;57;13;11;1;24
Dan Cloutier;G;31;1;9;0;0;0;0
Dan Ellis;G;27;0,5;44;0;0;0;0
Dan Fritsche;C;22;0,75;69;10;12;2;22
Dan Girardi;D;23;0,75;82;10;18;0;28
Dan Hamhuis;D;25;1,75;80;4;23;-4;27
Dan Hinote;RW;30;1;58;5;5;-3;10
Dan Jancevski;D;26;0,02;4;0;0;-1;0
Dan LaCosta;G;21;0,04;1;0;0;0;0
Dan Sabourin;G;27;0,5;24;0;0;0;0
Dan Taylor;G;21;0,02;1;0;0;0;0
Dane Byers;LW;21;0,01;1;0;0;-1;0
Daniel Alfredsson;RW;35;4,69;70;40;49;15;89
Daniel Briere;C;30;10;79;31;41;-22;72
Daniel Cleary;LW;29;0,68;63;20;22;21;42
Daniel Paille;LW;23;0,59;77;19;16;9;35
Daniel Sedin;LW;27;3,58;82;29;45;6;74
Daniel Winnik;LW;22;0,52;79;11;15;-3;26
Danny Richmond;D;23;0,15;7;0;0;-5;0
Dany Heatley;RW;26;5,5;71;41;41;33;82
Darcy Hordichuk;LW;27;0,52;45;1;2;-1;3
Darcy Tucker;LW;32;3;74;18;16;-8;34
Darren Haydar;RW;28;0,16;16;1;7;4;8
Darren Helm;C;20;0,09;7;0;0;-2;0
Darren McCarty;RW;35;0,12;3;0;1;2;1
Darryl Bootland;RW;26;0,07;4;0;1;0;1
Darryl Boyce;C;23;0,21;1;0;0;0;0
Darryl Sydor;D;35;2,5;74;1;12;1;13
Dave Bolland;C;21;0,61;39;4;13;6;17
Dave Steckel;C;25;0,52;67;5;7;1;12
David Aebischer;G;29;0,07;1;0;0;0;0
David Backes;RW;23;0,89;72;13;18;-11;31
David Booth;LW;23;0,7;73;22;18;13;40
David Brine;C;22;0,05;9;0;1;-1;1
David Clarkson;RW;23;0,8;81;9;13;1;22
David Hale;D;26;0,59;58;0;2;0;2
David Jones;RW;23;0,17;27;2;4;-5;6
David Koci;D;26;0,33;18;0;0;-4;0
David Krejci;C;21;0,62;56;6;21;-3;27
David Legwand;C;27;2,1;65;15;29;-4;44
David Moss;RW;26;0,52;41;4;7;-4;11
David Perron;C;19;0,92;62;13;14;16;27
David Tanabe;D;27;0,59;18;1;2;2;3
David Vyborny;RW;32;2,2;66;7;19;-8;26
Daymond Langkow;C;31;2,44;80;30;35;16;65
Dean McAmmond;LW;34;0,85;68;9;13;1;22
Denis Grebeshkov;D;24;0,95;71;3;15;2;18
Denis Tolpeko;LW;22;0,33;26;1;5;-4;6
Dennis Seidenberg;D;26;0,85;47;0;15;6;15
Dennis Wideman;D;24;0,6;81;13;23;11;36
Derek Armstrong;C;34;1,4;77;8;27;4;35
Derek Boogaard;LW;25;0,75;34;0;0;-5;0
Derek MacKenzie;C;26;0,11;17;2;0;-2;2
Derek Meech;D;23;0,45;32;0;3;-5;3
Derek Morris;D;29;3,9;82;8;17;8;25
Derek Roy;C;24;3;78;32;49;13;81
Derian Hatcher;D;35;3,5;44;2;5;4;7
Derick Brassard;C;20;0,31;17;1;1;-4;2
Devin Setoguchi;RW;21;0,83;44;11;6;6;17
Dick Tarnstrom;D;32;2;48;3;11;-11;14
Dion Phaneuf;D;22;0,94;82;17;43;12;60
Dmitri Kalinin;D;27;2,25;46;1;7;-7;8
Dmitri Patzold;G;24;0,28;3;0;0;0;0
Dominic Moore;C;27;0,7;68;5;12;-4;17
Dominik Hasek;G;42;4,05;41;0;1;0;1
Donald Brashear;LW;35;1,1;80;5;3;-7;8
Doug Janik;D;27;0,48;61;1;3;-3;4
Doug Murray;D;27;0,55;66;1;9;20;10
Doug Weight;C;36;3,5;67;10;15;4;25
Drew Fata;D;24;0,01;5;0;1;-1;1
Drew Larman;C;22;0,03;6;0;1;1;1
Drew MacIntyre;G;24;0,02;2;0;0;0;0
Drew Miller;LW;23;0,34;26;2;3;-1;5
Drew Stafford;RW;22;0,98;64;16;22;3;38
Duncan Keith;D;24;1,4;82;12;20;30;32
Dustin Boyd;C;21;0,54;48;7;5;-11;12
Dustin Brown;RW;23;1,18;78;33;27;-13;60
Dustin Byfuglien;D;22;0,54;67;19;17;-7;36
Dustin Penner;RW;25;4,25;82;23;24;-12;47
Duvie Westcott;D;30;0,93;23;1;3;-10;4
Dwayne Roloson;G;38;3,5;43;0;1;0;1
Ed Jovanovski;D;31;7;80;12;39;-13;51
Enver Lisin;RW;21;0,18;13;4;1;-5;5
Eric Belanger;C;30;1,75;75;13;24;-6;37
Eric Boulton;LW;31;0,52;74;4;5;-10;9
Eric Brewer;D;28;3,5;77;1;21;-18;22
Eric Fehr;RW;22;0,76;23;1;5;4;6
Eric Godard;RW;27;0,47;74;1;1;-8;2
Eric Nystrom;LW;24;0,48;44;3;7;-5;10
Eric Perrin;C;32;0,75;81;12;33;-5;45
Eric Staal;C;23;4,5;82;38;44;-2;82
Erik Cole;LW;29;4;73;22;29;5;51
Erik Christensen;C;24;0,75;59;11;13;-10;24
Erik Ersberg;G;25;0,18;14;0;0;0;0
Erik Johnson;D;19;3,7;69;5;28;-9;33
Ethan Moreau;LW;32;2,75;25;5;4;-4;9
Evgeni Malkin;C;21;3,83;82;47;59;16;106
Evgeni Nabokov;G;32;5;77;0;2;0;2
Fedor Tyutin;D;24;1,02;82;5;15;5;20
Fernando Pisani;RW;31;2,5;56;13;9;-5;22
Filip Kuba;D;31;3;75;6;25;-8;31
Francis Bouillon;D;32;1,88;74;2;6;9;8
Francois Beauchemin;D;27;1,65;82;2;19;-9;21
Frans Nielsen;C;23;0,2;16;2;1;1;3
Frantisek Kaberle;D;34;2,2;80;0;22;-4;22
Freddy Meyer;D;26;0,52;57;3;9;2;12
Fredrik Modin;LW;33;2,75;23;6;6;1;12
Fredrik Norrena;G;34;0,8;37;0;1;0;1
Fredrik Sjostrom;RW;24;0,8;69;12;9;-2;21
Gabe Gauthier;C;23;0,03;3;0;0;0;0
Garnet Exelby;D;26;1,05;79;2;5;-21;7
Garrett Stafford;D;27;0,01;2;0;0;0;0
Garth Murray;C;25;0,58;7;0;0;0;0
Gary Roberts;LW;41;2,5;38;3;12;-3;15
Geoff Platt;C;22;0;5;0;0;2;0
Geoff Sanderson;LW;35;1,5;41;3;10;-7;13
George Parros;RW;28;0,52;69;1;4;3;5
Georges Laraque;RW;31;1,25;71;4;9;0;13
Gilbert Brule;C;21;1,06;61;1;8;-4;9
Glen Metropolit;C;33;0,5;82;11;22;-3;33
Glen Murray;RW;35;4,15;63;17;13;-4;30
Glen Wesley;D;39;1,4;78;1;7;-3;8
Greg Campbell;LW;24;0,52;81;5;13;-12;18
Greg De Vries;D;34;2,25;77;4;11;7;15
Greg Moore;C;23;0,09;6;0;0;-2;0
Greg Stewart;LW;21;0,01;1;0;0;0;0
Greg Zanon;D;27;0,7;78;0;5;-5;5
Guillaume Latendresse;LW;20;0,85;73;16;11;-2;27
Hal Gill;D;32;2,08;81;3;21;6;24
Hannu Toivonen;G;23;0,48;23;0;0;0;0
Henrik Lundqvist;G;25;4,25;72;0;0;0;0
Henrik Sedin;C;27;3,58;82;15;61;6;76
Henrik Tallinder;D;28;2,5;71;1;17;5;18
Henrik Zetterberg;C;27;2,7;75;43;49;30;92
Ian Laperriere;C;33;1,06;70;4;15;-5;19
Ian White;D;23;0,75;81;5;16;-9;21
Ilya Bryzgalov;G;27;1,36;64;0;0;0;0
Ilya Kovalchuk;LW;24;5,43;79;52;35;-12;87
Ilya Zubov;C;20;0;1;0;0;0;0
Ivan Baranka;D;22;0,01;1;0;1;1;1
J.P. Dumont;RW;29;2,5;80;29;43;5;72
Jack Hillen;D;21;NA;2;0;1;1;1
Jack Johnson;D;20;2,15;74;3;8;-19;11
Jack Skille;LW;20;0,3;16;3;2;1;5
Jake Dowell;C;22;0,25;19;2;1;1;3
Jamal Mayers;RW;33;1,2;80;12;15;-19;27
James Sheppard;C;19;1,4;78;4;15;0;19
James Wisniewski;D;23;0,65;68;7;19;12;26
Jamie Langenbrunner;RW;32;2,8;64;13;28;-1;41
Jan Hejda;D;29;1;81;0;13;20;13
Jan Hlavac;LW;31;0,7;80;12;23;-1;35
Jannik Hansen;LW;21;0,05;5;0;0;0;0
Jared Boll;RW;21;0,74;75;5;5;-4;10
Jarkko Ruutu;LW;32;1,15;71;6;10;3;16
Jarome Iginla;RW;30;7;82;50;48;27;98
Jaromir Jagr;RW;35;8,36;82;25;46;8;71
Jaroslav Halak;G;22;0,21;6;0;0;0;0
Jaroslav Hlinka;C;31;0,6;63;8;20;6;28
Jaroslav Modry;D;36;1,2;80;1;8;-9;9
Jaroslav Spacek;D;33;3,48;60;9;23;7;32
Jarret Stoll;C;25;2,2;81;14;22;-23;36
Jason Arnott;C;33;4,5;79;28;44;19;72
Jason Blake;LW;34;5;82;15;37;-4;52
Jason Chimera;LW;28;1;81;14;17;-5;31
Jason Jaffray;LW;26;0,12;19;2;4;4;6
Jason King;LW;26;0,03;4;0;0;-3;0
Jason Labarbera;G;27;0,8;45;0;0;0;0
Jason Pominville;RW;25;0,92;82;27;53;16;80
Jason Smith;D;34;1,98;77;1;9;-4;10
Jason Spezza;C;24;5;76;34;58;26;92
Jason Strudwick;D;32;0,5;52;1;1;0;2
Jason Ward;RW;28;0,65;79;8;6;-18;14
Jason Williams;C;27;1,6;43;13;23;-2;36
Jassen Cullimore;D;35;0,47;65;3;10;21;13
Jay Bouwmeester;D;24;2,25;82;15;22;-5;37
Jay Leach;D;28;0,01;2;0;0;-1;0
Jay McClement;C;24;0,7;81;9;13;-17;22
Jay McKee;D;30;4;66;2;7;2;9
Jay Pandolfo;LW;33;0,84;54;12;12;10;24
Jean-Francois Jacques;LW;22;0,06;9;0;0;-3;0
Jean-Sebastien Aubin;G;30;0,52;19;0;0;0;0
Jean-Sebastien Giguere;G;30;5,5;58;0;0;0;0
Jed Ortmeyer;RW;29;0,75;51;4;4;-8;8
Jeff Carter;C;23;0,94;82;29;24;6;53
Jeff Cowan;LW;31;0,72;46;0;1;-5;1
Jeff Finger;D;28;0,48;72;8;11;12;19
Jeff Giuliano;LW;28;0,3;53;0;6;-9;6
Jeff Halpern;C;31;2;83;20;22;0;42
Jeff Hamilton;RW;30;0,71;58;9;15;-8;24
Jeff Hoggan;LW;29;0;1;0;0;0;0
Jeff Schultz;D;21;0,78;72;5;13;12;18
Jeff Taffe;C;26;0,29;45;5;7;2;12
Jeff Tambellini;LW;23;0,33;31;1;3;-9;4
Jeff Woywitka;D;24;0,21;27;2;6;2;8
Jere Lehtinen;LW;34;3,9;48;15;22;9;37
Jeremy Colliton;C;22;0,11;16;0;0;-4;0
Jeremy Reich;LW;28;0,48;58;2;2;-5;4
Jeremy Roenick;C;37;0,5;69;14;19;-8;33
Jeremy Williams;RW;23;0,11;18;2;0;-3;2
Jerred Smithson;C;28;0,48;81;7;9;-9;16
Jesse Boulerice;RW;29;0,09;5;0;0;-2;0
Jesse Winchester;C;24;NA;1;0;0;0;0
Jim Dowd;C;39;0,5;73;5;5;0;10
Jim Slater;C;25;0,75;69;8;5;-10;13
Jim Vandermeer;D;27;1,23;75;3;14;6;17
Jimmy Howard;G;23;0,14;4;0;0;0;0
Jiri Hudler;LW;23;0,88;81;13;29;11;42
Jiri Novotny;C;24;0,7;65;8;14;-10;22
Jiri Tlusty;LW;19;0,69;58;10;6;-12;16
Joakim Lindstrom;LW;24;0,2;25;3;4;0;7
Jocelyn Thibault;G;32;0,76;12;0;0;0;0
Jochen Hecht;C;30;2,35;75;22;27;1;49
Jody Shelley;LW;31;0,65;62;1;6;-4;7
Joe Corvo;D;30;2,5;74;13;35;17;48
Joe DiPenta;D;28;0,7;23;1;4;3;5
Joe Jensen;F;24;0,05;6;1;0;1;1
Joe Motzko;RW;27;0,04;8;2;2;1;4
Joe Pavelski;C;23;0,85;82;19;21;1;40
Joe Sakic;C;38;6,75;44;13;27;-4;40
Joe Thornton;C;28;6,67;82;29;67;18;96
Joel Kwiatkowski;D;30;0,14;18;0;5;-5;5
Joel Lundqvist;C;25;0,64;55;3;11;-3;14
Joel Perrault;C;24;0,3;49;7;10;-11;17
Joey MacDonald;G;27;0,04;2;0;0;0;0
Joey Mormina;D;25;0;1;0;0;0;0
Joffrey Lupul;RW;24;2,54;56;20;26;2;46
Johan Franzen;C;28;0,9;72;27;11;12;38
Johan Hedberg;G;34;1,15;36;0;1;0;1
Johan Holmqvist;G;29;1;47;0;1;0;1
John-Michael Liles;D;27;1,4;81;6;26;2;32
John Erskine;D;27;0,52;51;2;7;1;9
John Grahame;G;32;1,27;17;0;1;0;1
John Madden;C;34;2,92;80;20;23;1;43
John Pohl;C;28;0,48;33;1;4;-4;5
John Zeiler;RW;25;0,36;36;0;1;-6;1
Johnny Boychuk;D;23;0,07;4;0;0;1;0
Johnny Oduya;D;26;0,6;75;6;20;27;26
"Jon ""Bates"" Battaglia";LW;32;0,27;13;0;0;-6;0
Jon Klemm;D;37;0,19;22;0;0;-5;0
Jon Quick;G;21;0,07;3;0;0;0;0
Jon Sim;LW;30;1;2;0;1;-1;1
Jonas Hiller;G;25;2,81;23;0;1;0;1
Jonathan Bernier;G;19;0,06;4;0;0;0;0
Jonathan Cheechoo;RW;27;2,5;69;23;14;11;37
Jonathan Ericsson;D;23;0,05;8;1;0;-3;1
Jonathan Filewich;RW;23;0,05;5;0;0;-2;0
Jonathan Toews;C;19;2,8;64;24;30;11;54
Joni Pitkanen;D;24;2,4;63;8;18;-5;26
Jordan Hendry;D;23;0,22;40;1;3;0;4
Jordan LaVallee-Smotherman;LW;21;0,01;2;1;1;2;2
Jordan Leopold;D;27;1,5;43;5;8;5;13
Jordan Staal;C;19;2,2;82;12;16;-5;28
Jordin Tootoo;RW;24;0,7;63;11;7;-8;18
Jose Theodore;G;31;6;53;0;2;0;2
Josef Vasicek;C;27;0,75;81;16;19;1;35
Josh Gorges;D;23;0,5;62;0;9;0;9
Josh Gratton;LW;25;0,12;1;0;0;1;0
Josh Harding;G;23;0,7;29;0;1;0;1
Josh Hennessy;C;22;0,03;5;0;0;-1;0
Josh Langfeld;RW;30;0,01;2;0;0;0;0
Jozef Stumpel;C;35;2,25;52;7;13;-11;20
Junior Lessard;RW;27;0,12;21;1;1;-6;2
Jussi Jokinen;C;24;1,75;72;16;26;-14;42
Justin Abdelkader;LW;20;NA;2;0;0;0;0
Justin Williams;RW;26;3,5;37;9;21;2;30
Kamil Kreps;C;23;0,46;76;8;17;10;25
Karel Rachunek;D;28;1,4;47;4;9;3;13
Kari Lehtonen;G;24;2,2;48;0;2;0;2
Karl Stewart;LW;24;0,08;9;0;0;-2;0
Karlis Skrastins;D;33;2,4;60;2;3;-11;5
Karri Ramo;G;21;0,39;22;0;1;0;1
Keith Aucoin;C;29;0,22;38;5;8;3;13
Keith Ballard;D;25;2,05;82;6;15;7;21
Keith Carney;D;37;2,1;61;1;10;8;11
Keith Tkachuk;LW;35;3,5;79;27;31;-2;58
Keith Yandle;D;21;0,53;43;5;7;-12;12
Ken Klee;D;36;1,25;72;1;9;-5;10
Kent Huskins;D;28;0,6;76;4;15;23;19
Kevin Bieksa;D;26;0,55;34;2;10;-11;12
Kevin Dallman;D;26;0,49;34;3;4;4;7
Kevin Doell;C;28;0,05;8;0;1;-2;1
Kevin Klein;D;23;0,5;13;0;2;-3;2
Kevin Weekes;G;32;0,68;9;0;0;0;0
Kevyn Adams;C;33;0,65;27;0;2;-7;2
Kim Johnsson;D;31;4,8;80;4;23;-4;27
Kimmo Timonen;D;32;8;80;8;36;0;44
Kip Brennan;LW;27;0,01;3;0;0;0;0
Kirk Maltby;LW;35;0,95;61;6;4;-8;10
Kris Beech;C;26;0,46;25;6;5;3;11
Kris Draper;C;36;2,13;65;9;8;-2;17
Kris Letang;D;20;0,65;63;6;11;-1;17
Kris Newbury;C;25;0,17;28;1;1;-7;2
Kris Russell;D;20;0,75;67;2;8;-12;10
Kris Versteeg;LW;21;0,1;13;2;2;-1;4
Kristian Huselius;LW;29;1,4;81;25;41;10;66
Krys Barch;RW;27;0,48;48;1;2;-3;3
Kurt Sauer;D;26;0,72;54;1;5;17;6
Kurtis Foster;D;26;1,02;56;7;12;0;19
Kyle Brodziak;C;23;0,5;80;14;17;-6;31
Kyle Calder;LW;28;2,7;65;7;13;-11;20
Kyle Cumiskey;D;21;0,5;38;0;5;-3;5
Kyle Chipchura;C;21;0,49;36;4;7;-1;11
Kyle Greentree;LW;24;0,02;2;0;0;-1;0
Kyle McLaren;D;30;2,5;61;3;8;3;11
