"";"P";"Player";"Age";"Salary";"GP";"G";"GA";"PlusMin";"NHL"
"1";"RW";"Aaron Downey";33;0,52;56;0;3;0;3
"2";"D";"Aaron Johnson";24;0,48;30;0;2;2;2
"3";"D";"Aaron Miller";36;1,5;57;1;8;-1;9
"4";"D";"Aaron Rome";24;0,5;17;1;1;-4;2
"5";"LW";"Aaron Voros";26;0,39;55;7;7;-7;14
"6";"D";"Aaron Ward";34;2,75;65;5;8;9;13
"7";"LW";"Adam Berti";21;0,01;2;0;0;0;0
"8";"RW";"Adam Burish";24;0,57;81;4;4;-13;8
"9";"D";"Adam Foote";36;4,6;75;1;15;2;16
"10";"RW";"Adam Hall";27;0,52;46;2;4;-2;6
"11";"C";"Adam Mair";28;0,75;72;5;12;-2;17
"12";"RW";"Adam Pineault";21;0,01;3;0;0;-2;0
"13";"D";"Adrian Aucoin";34;4;76;10;25;13;35
"14";"D";"Alain Nasreddine";32;0,14;6;0;0;-4;0
"15";"RW";"Ales Hemsky";24;3,6;74;20;51;-9;71
"16";"RW";"Ales Kotalik";29;2,5;79;23;20;-5;43
"17";"G";"Alex Auld";26;0,6;32;0;0;0;0
"18";"RW";"Alex Burrows";26;0,48;82;12;19;11;31
"19";"D";"Alex Edler";21;0,54;75;8;12;6;20
"20";"LW";"Alex Foster";23;0,03;3;0;0;0;0
"21";"D";"Alex Goligoski";22;0,07;3;0;2;2;2
"22";"RW";"Alex Kovalev";34;4,5;82;35;49;18;84
"23";"LW";"Alex Ovechkin";22;3,83;82;65;47;28;112
"24";"C";"Alex Steen";23;0,9;76;15;27;0;42
"25";"LW";"Alex Tanguay";28;5,38;78;18;40;11;58
"26";"LW";"Alexander Frolov";25;3;71;23;44;1;67
"27";"C";"Alexander Nikulin";22;0,02;2;0;0;-2;0
"28";"RW";"Alexander Radulov";21;0,69;81;26;32;7;58
"29";"LW";"Alexander Semin";23;1,2;63;26;16;-18;42
"30";"D";"Alexandre Picard";22;0,2;27;3;3;-12;6
"31";"LW";"Alexei Ponikarovsky";27;1,57;66;18;17;3;35
"32";"D";"Alexei Semenov";26;0,65;22;1;3;-8;4
"33";"D";"Alexei Zhitnik";35;3,5;65;3;5;-8;8
"34";"D";"Allan Rourke";27;0,09;13;0;0;-1;0
"35";"D";"Anders Eriksson";32;1,5;61;1;17;-5;18
"36";"RW";"Andre Roy";32;0,86;63;4;3;-1;7
"37";"C";"Andreas Karlsson";32;0,5;58;2;2;-7;4
"38";"D";"Andreas Lilja";32;1;79;2;10;-2;12
"39";"RW";"Andrei Kostitsyn";22;0,61;78;26;27;15;53
"40";"D";"Andrei Markov";29;5,75;82;16;42;1;58
"41";"D";"Andrei Zyuzin";29;1,48;32;2;3;-11;5
"42";"D";"Andrej Meszaros";22;0,98;82;9;27;5;36
"43";"D";"Andrej Sekera";21;0,3;37;2;6;5;8
"44";"D";"Andrew Alberts";26;1,1;35;0;2;4;2
"45";"LW";"Andrew Brunette";34;1,6;82;19;40;5;59
