"DataframeName" "MeanME" "SdME" "MeanRMSE" "SdRMSE" "MeanMAE" "SdMAE"
"1" "0,1,0 Direct" -0.00506110913470528 0.100920321613299 0.361584375015344 0.213591997628342 0.264364504729168 0.157768534387749
"2" "0,0,1 Direct" -0.00750157754898382 0.0355367486969637 0.198486626171151 0.122384105576975 0.168133721305995 0.108142738692695
"3" "1,0,0 Direct" -0.00254744257805709 0.0216209242845269 0.246489850821776 0.15535660470977 0.207664804301971 0.134113606729707
"4" "0,1,1 Direct" 0.00475810136333192 0.115629058915128 0.271128222324299 0.16863732824428 0.194442369078653 0.124120674517019
"5" "0,0,0 Direct" -1.14781429435133e-14 5.18582438985326e-14 0.27080025726017 0.163110034618976 0.225111083619695 0.136837402975398
"6" "best Direct" 0.250442600907564 0.184167987960935 0.380156283459074 0.228158483716649 0.282445855669747 0.181577615051235
"7" "0,1,0 Directh" -0.0207067562365664 0.369256434670103 1.35164213784432 0.79782618650718 0.982484204420259 0.597860258843015
"8" "0,0,1 Directh" 0.00105612659860579 0.147887317043952 0.745215099833896 0.44651014100369 0.630553108006151 0.385282179227204
"9" "1,0,0 Directh" 0.000259388783637933 0.074652348102675 0.930082436181183 0.557981721155888 0.775879805093941 0.463263370774937
"10" "0,1,1 Directh" 0.00463572230983557 0.402133799702179 1.00778130876407 0.586471783417416 0.71903926998263 0.424250787868408
"11" "0,0,0 Directh" -3.37804132526995e-14 2.4025067502558e-13 1.01212203026257 0.584992737520989 0.838344551697627 0.478181788809156
"12" "best Directh" 0.877223924775992 0.701412528347577 1.3821842040471 0.84714186773188 1.01394153828913 0.676433303485308
"13" "0,1,0 Collective" 0.0173288667475346 0.246902557088343 0.877424980910784 0.481140823146079 0.655716433114141 0.381290329357668
"14" "0,0,1 Collective" -0.0170454008200011 0.074738621859836 0.496726675270586 0.28327354703494 0.421448413778077 0.248873531254567
"15" "1,0,0 Collective" -0.0114554406252991 0.0608167802536664 0.599043587171193 0.347050072929352 0.498463093511173 0.287708952672776
"16" "0,1,1 Collective" 0.0378582948467171 0.261756806364447 0.659885483728412 0.366717730518309 0.4649778148416 0.260580744263874
"17" "0,0,0 Collective" -2.05122014547963e-14 8.17622400522995e-14 0.665734817251292 0.351737808213405 0.553495852150613 0.289880175532632
"18" "best Collective" 0.331821813536842 0.614911973379111 0.824614669288602 0.606416309572879 0.651838530272795 0.502813997079693
"19" "0,1,0 Collectiveh" 0.0460514378554872 0.853783225645776 3.32791128032021 1.83846645974335 2.45861952212062 1.38850876083745
"20" "0,0,1 Collectiveh" -0.0212683973186399 0.319317139560432 1.84634649042306 0.876173191621217 1.54171401486452 0.744211437525443
"21" "1,0,0 Collectiveh" -0.027631373596467 0.193566872830785 2.22509836039628 1.12359030167239 1.84655304152549 0.926398654863836
"22" "0,1,1 Collectiveh" 0.107186579301926 0.977710037301233 2.45650717488504 1.18760182195946 1.72065230588129 0.811624493120499
"23" "0,0,0 Collectiveh" -2.22836554726803e-14 2.34095840736188e-13 2.46235527915529 1.18686503345797 2.02706945418926 0.965716290183297
"24" "best Collectiveh" 1.31259577218071 2.28425342280027 3.08664490308132 2.20156992871776 2.41448759230037 1.83249136034567
