"","PlayerId","GPsec","PlayerName","GP"
"719",8469629,1,"Tom Cavanagh",78
"720",8470321,79,"Patrick Rissmiller",79
"721",8470599,79,"Milan Michalek",79
"722",8470640,62,"Matthew Carle",62
"723",8470794,82,"Joe Pavelski",82
"724",8471235,3,"Lukas Kaspar",76
"725",8471306,3,"Thomas Greiss",44
"726",8471338,82,"Torrey Mitchell",82
"727",8471641,1,"Mike Iggulden",79
"728",8471682,44,"Devin Setoguchi",67
"729",8471709,82,"Marc-Edouard Vlasic",83
"730",8450824,76,"Luke Richardson",76
"731",8458536,68,"Dean McAmmond",68
"732",8459450,82,"Shean Donovan",82
"733",8460621,70,"Daniel Alfredsson",70
"734",8462033,80,"Wade Redden",80
"735",8464956,81,"Chris Phillips",81
"736",8466110,68,"Randy Robitaille",82
"737",8467370,79,"Mike Fisher",79
"738",8467493,68,"Chris Neil",68
"739",8467967,75,"Chris Kelly",75
"740",8467977,38,"Brian McGrattan",38
"741",8468184,3,"Lawrence Nycholat",80
"742",8468482,71,"Dany Heatley",80
"743",8468501,67,"Anton Volchenkov",67
"744",8468535,81,"Antoine Vermette",81
"745",8469455,76,"Jason Spezza",85
"746",8469548,31,"Ray Emery",33
"747",8469575,82,"Christoph Schubert",88
"748",8469675,57,"Martin Gerber",62
"749",8470636,5,"Josh Hennessy",81
"750",8470880,1,"Brian Elliott",45
"751",8471236,82,"Andrej Meszaros",82
"752",8471334,2,"Alexander Nikulin",73
"753",8471683,6,"Brian Lee",61
"754",8471760,21,"Cody Bass",45
"755",8471763,1,"Ilya Zubov",75
"756",8473422,45,"Nick Foligno",73
"757",8474498,1,"Jesse Winchester",41
"758",8451359,52,"Mike Sillinger",52
"759",8456464,81,"Bill Guerin",81
"760",8459433,59,"Brendan Witt",59
"761",8459527,2,"Shawn Bates",5
"762",8459534,80,"Miroslav Satan",80
"763",8460541,82,"Richard Park",82
"764",8462032,54,"Bryan Berard",54
"765",8465024,2,"Jon Sim",2
"766",8467304,58,"Andy Sutton",58
"767",8467416,81,"Josef Vasicek",81
"768",8467427,3,"Kip Brennan",52
"769",8467466,82,"Trent Hunter",82
"770",8467964,76,"Mike Comrie",76
"771",8468101,69,"Radek Martinek",69
"772",8468172,67,"Ruslan Fedotenko",67
"773",8468481,63,"Rick DiPietro",63
"774",8468517,70,"Andy Hilbert",70
"775",8468732,4,"Darryl Bootland",67
"776",8469484,9,"Matthew Spiller",84
"777",8469490,36,"Tim Jackman",80
"778",8469510,3,"Matt Keith",79
"779",8469534,30,"Aaron Johnson",32
"780",8469535,5,"Drew Fata",76
"781",8469732,2,"Joey MacDonald",40
"782",8470144,16,"Frans Nielsen",64
"783",8470176,78,"Sean Bergenheim",82
"784",8470329,46,"Chris Campoli",46
"785",8470584,20,"Wade Dubielewicz",22
"786",8470620,31,"Jeff Tambellini",88
"787",8470651,16,"Jeremy Colliton",81
"788",8470774,60,"Bruno Gervais",60
"789",8471260,51,"Blake Comeau",82
"790",8471360,8,"Steve Regier",73
"791",8471372,8,"Ben Walter",76
"792",8473449,9,"Kyle Okposo",68
"793",8474519,2,"Jack Hillen",43
"794",8445735,59,"Rod Brind'Amour",59
"795",8452371,78,"Glen Wesley",78
"796",8456547,66,"Bret Hedican",66
"797",8458537,66,"Ray Whitney",66
"798",8459547,58,"Scott Walker",58
"799",8460715,17,"John Grahame",24
"800",8464989,59,"Matt Cullen",59
"801",8465189,75,"Trevor Letowski",75
"802",8467396,73,"Erik Cole",73
"803",8467889,18,"David Tanabe",18
"804",8467949,80,"Frantisek Kaberle",80
"805",8468038,3,"Michael Leighton",61
"806",8468508,37,"Justin Williams",37
"807",8468560,31,"Ryan Bayda",52
"808",8468577,66,"Niclas Wallin",73
"809",8469044,32,"Wade Brookbank",57
"810",8469476,80,"Tim Gleason",86
"811",8469522,6,"Brandon Nolan",54
"812",8469619,47,"Dennis Seidenberg",53
"813",8469779,38,"Keith Aucoin",76
"814",8469812,58,"Chad LaRose",58
"815",8470101,19,"Tim Conboy",71
"816",8470208,1,"Joey Mormina",78
"817",8470320,69,"Cam Ward",74
"818",8470373,58,"Jeff Hamilton",67
"819",8470595,82,"Eric Staal",90
"820",8470821,6,"Joe Jensen",66
"821",8471282,11,"Casey Borer",72
"822",8458976,65,"Michael Peca",65
"823",8459455,66,"David Vyborny",66
"824",8460556,23,"Freddy Modin",23
"825",8466251,81,"Jason Chimera",90
"826",8467334,71,"Manny Malhotra",71
"827",8468001,17,"Derek MacKenzie",79
"828",8468484,82,"Rostislav Klesla",82
"829",8468493,78,"Ron Hainsey",78
"830",8469442,23,"Duvie Westcott",60
"831",8469461,54,"Pascal Leclaire",58
"832",8469475,65,"Jiri Novotny",72
"833",8469685,39,"Andrew Murray",73
"834",8469820,3,"Zenon Konopka",65
"835",8470041,80,"Rick Nash",89
"836",8470090,37,"Fredrik Norrena",37
"837",8470152,25,"Joakim Lindstrom",74
"838",8470170,51,"Ole-Kristian Tollefsen",51
"839",8470310,17,"Aaron Rome",72
"840",8470597,82,"Nikolay Zherdev",82
"841",8470639,69,"Dan Fritsche",69
"842",8470699,81,"Jan Hejda",88
"843",8470760,9,"Marc Methot",75
"844",8471221,3,"Alexandre Picard",53
"845",8471259,3,"Adam Pineault",77
"846",8471305,1,"Daniel Lacosta",30
"847",8471680,61,"Gilbert Brule",77
"848",8471729,67,"Kris Russell",67
"849",8471766,75,"Jared Boll",75
"850",8472262,7,"Clay Wilson",78
"851",8473542,1,"Tom Sestito",67
"852",8473544,17,"Derick Brassard",59
"853",8447958,82,"Bobby Holik",82
"854",8456850,72,"Ken Klee",72
"855",8456887,82,"Vyacheslav Kozlov",82
"856",8458595,65,"Alexei Zhitnik",65
"857",8460704,36,"Johan Hedberg",36
"858",8460720,74,"Eric Boulton",74
"859",8462082,62,"Brad Larsen",62
"860",8465168,18,"Joel Kwiatkowski",77
"861",8466392,74,"Todd White",74
"862",8466399,81,"Eric Perrin",81
"863",8467896,55,"Steve McCarthy",55
"864",8467956,81,"Niclas Havelid",81
"865",8468090,79,"Garnet Exelby",79
"866",8468121,16,"Darren Haydar",67
"867",8469454,79,"Ilya Kovalchuk",87
"868",8469488,33,"Mark Popovic",33
"869",8469501,73,"Chris Thorburn",73
"870",8469582,18,"Colin Stuart",76
"871",8470140,48,"Kari Lehtonen",50
"872",8470289,69,"Jim Slater",72
"873",8470737,13,"Brett Sterling",83
"874",8470828,82,"Toby Enstrom",82
"875",8470937,8,"Kevin Doell",76
"876",8471223,7,"Boris Valabik",65
"877",8471715,7,"Ondrej Pavelec",59
"878",8471778,2,"Jordan Lavallee-Smotherman",78
"879",8473412,48,"Bryan Little",82
"880",8446788,68,"Sergei Fedorov",77
"881",8450725,72,"Mark Recchi",72
"882",8456283,74,"Adam Foote",75
"883",8457403,78,"Jaroslav Modry",80
"884",8458031,38,"Chris Simon",38
"885",8458361,67,"Doug Weight",67
"886",8458524,70,"Martin Lapointe",70
"887",8458943,77,"Cory Stillman",79
"888",8459492,80,"Vinny Prospal",80
"889",8459628,81,"Hal Gill",81
"890",8460502,47,"Wade Belak",47
"891",8460626,64,"Bryce Salvador",64
"892",8460661,76,"Shane Hnidy",76
"893",8460757,48,"Dick Tarnstrom",48
"894",8462081,80,"Jan Hlavac",80
"895",8462535,62,"Jody Shelley",62
